Giver	Giver Region	Year	Recipient	Recipient Region	Giver GDP	Recipient GDP	Giver GDP Per Capita	Recipient GDP Per Capita	Points
United Kingdom	Northern Europe	1983	Belgium	Western Europe	918162485756	154023838870	16299	15628	4
United Kingdom	Northern Europe	1984	Sweden	Northern Europe	942685916457	173468954449	16708	20808	7
United Kingdom	Northern Europe	1984	France	Western Europe	942685916457	916909603122	16708	16265	6
United Kingdom	Northern Europe	1984	Spain	Southern Europe	942685916457	345421593730	16708	9024	4
United Kingdom	Northern Europe	1984	Ireland	Northern Europe	942685916457	38122046077	16708	10792	8
United Kingdom	Northern Europe	1984	Denmark	Northern Europe	942685916457	110882572572	16708	21692	12
United Kingdom	Northern Europe	1984	Netherlands	Western Europe	942685916457	233128874303	16708	16162	1
United Kingdom	Northern Europe	1984	Germany	Western Europe	942685916457	1293479834781	16708	16613	2
United Kingdom	Northern Europe	1984	Turkey	Southern Europe	942685916457	136291980543	16708	2818	5
United Kingdom	Northern Europe	1985	Ireland	Northern Europe	976616778236	39298345630	17270	11107	3
United Kingdom	Northern Europe	1985	Finland	Northern Europe	976616778236	84154228856	17270	17167	7
United Kingdom	Northern Europe	1985	Spain	Southern Europe	976616778236	353440334465	17270	9200	4
United Kingdom	Northern Europe	1985	France	Western Europe	976616778236	931672923882	17270	16433	2
United Kingdom	Northern Europe	1985	Turkey	Southern Europe	976616778236	142072580798	17270	2876	8
United Kingdom	Northern Europe	1985	Germany	Western Europe	976616778236	1323591207453	17270	17038	1
United Kingdom	Northern Europe	1985	Israel	Eastern Europe	976616778236	57668447133	17270	13624	5
United Kingdom	Northern Europe	1985	Norway	Northern Europe	976616778236	107488317889	17270	25885	12
United Kingdom	Northern Europe	1985	Sweden	Northern Europe	976616778236	177267361611	17270	21229	6
United Kingdom	Northern Europe	1985	Austria	Western Europe	976616778236	126913153392	17270	16776	10
United Kingdom	Northern Europe	1986	Luxembourg	Western Europe	1015801864483	9510685641	17921	25819	8
United Kingdom	Northern Europe	1986	Turkey	Southern Europe	1015801864483	152034754423	17921	3017	2
United Kingdom	Northern Europe	1986	Spain	Southern Europe	1015801864483	364938885630	17921	9470	1
United Kingdom	Northern Europe	1986	Belgium	Western Europe	1015801864483	163353808712	17921	16564	10
United Kingdom	Northern Europe	1986	Germany	Western Europe	1015801864483	1353866228890	17921	17420	12
United Kingdom	Northern Europe	1986	Sweden	Northern Europe	1015801864483	182339143634	17921	21785	3
United Kingdom	Northern Europe	1986	Denmark	Northern Europe	1015801864483	121053669414	17921	23641	6
United Kingdom	Northern Europe	1986	Portugal	Southern Europe	1015801864483	69215172550	17921	6899	4
United Kingdom	Northern Europe	1987	Israel	Eastern Europe	1062143566817	64775226074	18699	14826	4
United Kingdom	Northern Europe	1987	Belgium	Western Europe	1062143566817	167121824743	18699	16932	8
United Kingdom	Northern Europe	1987	Italy	Southern Europe	1062143566817	856999900993	18699	15141	1
United Kingdom	Northern Europe	1987	Greece	Southern Europe	1062143566817	91182501476	18699	9118	5
United Kingdom	Northern Europe	1987	Netherlands	Western Europe	1062143566817	250556085329	18699	17085	3
United Kingdom	Northern Europe	1987	Luxembourg	Western Europe	1062143566817	9886450733	18699	26666	2
United Kingdom	Northern Europe	1987	Germany	Western Europe	1062143566817	1372849485574	18699	17637	10
United Kingdom	Northern Europe	1987	Cyprus	Southern Europe	1062143566817	4917507414	18699	8881	6
United Kingdom	Northern Europe	1987	Denmark	Northern Europe	1062143566817	121404648587	18699	23679	7
United Kingdom	Northern Europe	1987	Ireland	Northern Europe	1062143566817	40954687244	18699	11569	12
United Kingdom	Northern Europe	1988	Sweden	Northern Europe	1115591712271	193672781455	19596	22957	2
United Kingdom	Northern Europe	1988	Turkey	Southern Europe	1115591712271	170319077301	19596	3258	1
United Kingdom	Northern Europe	1988	Netherlands	Western Europe	1115591712271	259179069556	19596	17559	6
United Kingdom	Northern Europe	1988	Israel	Eastern Europe	1115591712271	66086368112	19596	14878	4
United Kingdom	Northern Europe	1988	Ireland	Northern Europe	1115591712271	43091462909	19596	12225	3
United Kingdom	Northern Europe	1988	Germany	Western Europe	1115591712271	1423744251340	19596	18219	5
United Kingdom	Northern Europe	1988	Norway	Northern Europe	1115591712271	113622064770	19596	26992	12
United Kingdom	Northern Europe	1988	Luxembourg	Western Europe	1115591712271	10723169021	19596	28714	7
United Kingdom	Northern Europe	1989	Israel	Eastern Europe	1141043342839	66660749912	19991	14754	2
United Kingdom	Northern Europe	1989	Netherlands	Western Europe	1141043342839	270634604237	19991	18226	3
United Kingdom	Northern Europe	1989	Sweden	Northern Europe	1141043342839	199055234725	19991	23438	4
United Kingdom	Northern Europe	1989	Denmark	Northern Europe	1141043342839	121925983178	19991	23755	10
United Kingdom	Northern Europe	1989	Spain	Southern Europe	1141043342839	424344995166	19991	10939	7
United Kingdom	Northern Europe	1989	Cyprus	Southern Europe	1141043342839	5767321557	19991	10160	6
United Kingdom	Northern Europe	1989	Greece	Southern Europe	1141043342839	98705787677	19991	9783	5
United Kingdom	Northern Europe	1989	Germany	Western Europe	1141043342839	1479221182513	19991	18783	1
United Kingdom	Northern Europe	1990	Spain	Southern Europe	1149935107324	440391149059	20087	11336	1
United Kingdom	Northern Europe	1990	Netherlands	Western Europe	1149935107324	281955594047	20087	18858	4
United Kingdom	Northern Europe	1990	Luxembourg	Western Europe	1149935107324	12400191574	20087	32474	3
United Kingdom	Northern Europe	1990	Iceland	Northern Europe	1149935107324	6763118968	20087	26540	12
United Kingdom	Northern Europe	1990	Germany	Western Europe	1149935107324	1556954345661	20087	19601	7
United Kingdom	Northern Europe	1990	Portugal	Southern Europe	1149935107324	87572065710	20087	8772	2
United Kingdom	Northern Europe	1990	Ireland	Northern Europe	1149935107324	49457228826	20087	14074	10
United Kingdom	Northern Europe	1990	Sweden	Northern Europe	1149935107324	201066288111	20087	23492	6
United Kingdom	Northern Europe	1990	Austria	Western Europe	1149935107324	147353847860	20087	19192	8
United Kingdom	Northern Europe	1991	Malta	Southern Europe	1133922962783	2508096392	19746	7011	7
United Kingdom	Northern Europe	1991	Luxembourg	Western Europe	1133922962783	13472087759	19746	34812	3
United Kingdom	Northern Europe	1991	Sweden	Northern Europe	1133922962783	198811754929	19746	23071	12
United Kingdom	Northern Europe	1991	France	Western Europe	1133922962783	1102943385636	19746	18837	6
United Kingdom	Northern Europe	1991	Turkey	Southern Europe	1133922962783	187985577937	19746	3414	5
United Kingdom	Northern Europe	1991	Ireland	Northern Europe	1133922962783	50411575068	19746	14264	4
United Kingdom	Northern Europe	1991	Israel	Eastern Europe	1133922962783	76700617160	19746	15498	10
United Kingdom	Northern Europe	1991	Belgium	Western Europe	1133922962783	190191939247	19746	19011	2
United Kingdom	Northern Europe	1991	Spain	Southern Europe	1133922962783	451603510207	19746	11598	1
United Kingdom	Northern Europe	1992	Spain	Southern Europe	1135585639120	455799879733	19722	11667	1
United Kingdom	Northern Europe	1992	Israel	Eastern Europe	1135585639120	81017170729	19722	15814	7
United Kingdom	Northern Europe	1992	Iceland	Northern Europe	1135585639120	6520331239	19722	24977	12
United Kingdom	Northern Europe	1992	Austria	Western Europe	1135585639120	155616277926	19722	19847	10
United Kingdom	Northern Europe	1992	Ireland	Northern Europe	1135585639120	52096972273	19722	14640	8
United Kingdom	Northern Europe	1992	Denmark	Northern Europe	1135585639120	127976062128	19722	24747	3
United Kingdom	Northern Europe	1992	Norway	Northern Europe	1135585639120	124847807184	19722	29126	5
United Kingdom	Northern Europe	1992	Germany	Western Europe	1135585639120	1667775438935	19722	20686	6
United Kingdom	Northern Europe	1992	Netherlands	Western Europe	1135585639120	293760304700	19722	19346	2
United Kingdom	Northern Europe	1993	Malta	Southern Europe	1160821247197	2743402774	20112	7522	6
United Kingdom	Northern Europe	1993	Iceland	Northern Europe	1160821247197	6605972495	20112	25049	2
United Kingdom	Northern Europe	1993	Austria	Western Europe	1160821247197	156436079199	20112	19788	3
United Kingdom	Northern Europe	1993	Portugal	Southern Europe	1160821247197	90505299488	20112	9066	1
United Kingdom	Northern Europe	1993	France	Western Europe	1160821247197	1111773755003	20112	18823	4
United Kingdom	Northern Europe	1993	Sweden	Northern Europe	1160821247197	192377179377	20112	22065	7
United Kingdom	Northern Europe	1993	Ireland	Northern Europe	1160821247197	53499740127	20112	14960	12
United Kingdom	Northern Europe	1993	Cyprus	Southern Europe	1160821247197	6874501414	20112	10980	5
United Kingdom	Northern Europe	1994	Ireland	Northern Europe	1210506420220	56579092614	20919	15758	10
United Kingdom	Northern Europe	1994	Iceland	Northern Europe	1210506420220	6844372657	20919	25729	6
United Kingdom	Northern Europe	1994	Portugal	Southern Europe	1210506420220	91378529219	20919	9134	8
United Kingdom	Northern Europe	1994	Malta	Southern Europe	1210506420220	2898435363	20919	7877	1
United Kingdom	Northern Europe	1994	Germany	Western Europe	1210506420220	1691872870119	20919	20775	7
United Kingdom	Northern Europe	1994	Norway	Northern Europe	1210506420220	134809195259	20919	31086	4
United Kingdom	Northern Europe	1994	Austria	Western Europe	1210506420220	160193859615	20919	20185	3
United Kingdom	Northern Europe	1994	Hungary	Eastern Europe	1210506420220	39528258777	20919	3822	2
United Kingdom	Northern Europe	1994	Russia	Eastern Europe	1210506420220	250072213201	20919	1686	5
United Kingdom	Northern Europe	1994	Poland	Eastern Europe	1210506420220	123039324941	20919	3192	12
United Kingdom	Northern Europe	1995	Norway	Northern Europe	1247338951851	140452717481	21499	32220	4
United Kingdom	Northern Europe	1995	Austria	Western Europe	1247338951851	164467805621	21499	20692	5
United Kingdom	Northern Europe	1995	Spain	Southern Europe	1247338951851	474584351741	21499	12049	8
United Kingdom	Northern Europe	1995	Turkey	Southern Europe	1247338951851	218601092943	21499	3714	2
United Kingdom	Northern Europe	1995	France	Western Europe	1247338951851	1160031311021	21499	19478	1
United Kingdom	Northern Europe	1995	Cyprus	Southern Europe	1247338951851	7724182914	21499	11868	3
United Kingdom	Northern Europe	1995	Sweden	Northern Europe	1247338951851	207977423364	21499	23562	6
United Kingdom	Northern Europe	1995	Slovenia	Southern Europe	1247338951851	16155992417	21499	8119	10
United Kingdom	Northern Europe	1995	Israel	Eastern Europe	1247338951851	97416800093	21499	17568	12
United Kingdom	Northern Europe	1995	Malta	Southern Europe	1247338951851	3082268472	21499	8321	7
United Kingdom	Northern Europe	1996	Turkey	Southern Europe	1283253039470	234733120142	22062	3924	6
United Kingdom	Northern Europe	1996	Portugal	Southern Europe	1283253039470	98806759496	22062	9824	2
United Kingdom	Northern Europe	1996	Cyprus	Southern Europe	1283253039470	7866990431	22062	11896	12
United Kingdom	Northern Europe	1996	Greece	Southern Europe	1283253039470	107491487302	22062	10037	7
United Kingdom	Northern Europe	1996	Norway	Northern Europe	1283253039470	147615476382	22062	33692	8
United Kingdom	Northern Europe	1996	France	Western Europe	1283253039470	1172414702760	22062	19606	1
United Kingdom	Northern Europe	1996	Belgium	Western Europe	1283253039470	205004907827	22062	20184	5
United Kingdom	Northern Europe	1997	Cyprus	Southern Europe	1325692400024	8051748059	22733	12004	5
United Kingdom	Northern Europe	1997	Turkey	Southern Europe	1325692400024	252520406456	22733	4154	4
United Kingdom	Northern Europe	1997	Ireland	Northern Europe	1325692400024	75305479817	22733	20496	12
United Kingdom	Northern Europe	1997	Italy	Southern Europe	1325692400024	1034874048284	22733	18191	3
United Kingdom	Northern Europe	1997	Sweden	Northern Europe	1325692400024	217054182928	22733	24537	7
United Kingdom	Northern Europe	1997	Hungary	Eastern Europe	1325692400024	41438134545	22733	4027	8
United Kingdom	Northern Europe	1997	Denmark	Northern Europe	1325692400024	147577647548	22733	27924	2
United Kingdom	Northern Europe	1997	Iceland	Northern Europe	1325692400024	7533020281	22733	27784	6
United Kingdom	Northern Europe	1998	Israel	Eastern Europe	1372286014257	110603683416	23463	18523	5
United Kingdom	Northern Europe	1998	Germany	Western Europe	1372286014257	1796813296247	23463	21900	6
United Kingdom	Northern Europe	1998	Malta	Southern Europe	1372286014257	3539422300	23463	9376	12
United Kingdom	Northern Europe	1998	Ireland	Northern Europe	1372286014257	81179646646	23463	21865	8
United Kingdom	Northern Europe	1998	Cyprus	Southern Europe	1372286014257	8457818690	23463	12456	3
United Kingdom	Northern Europe	1998	Netherlands	Western Europe	1372286014257	353896255736	23463	22531	10
United Kingdom	Northern Europe	1998	Sweden	Northern Europe	1372286014257	226181208632	23463	25554	1
United Kingdom	Northern Europe	1998	Belgium	Western Europe	1372286014257	216763833526	23463	21245	7
United Kingdom	Northern Europe	1998	Norway	Northern Europe	1372286014257	159749542448	23463	36049	4
United Kingdom	Northern Europe	1999	Denmark	Northern Europe	1415742596097	154626288221	24125	29055	5
United Kingdom	Northern Europe	1999	Netherlands	Western Europe	1415742596097	370474105840	24125	23430	8
United Kingdom	Northern Europe	1999	Iceland	Northern Europe	1415742596097	8336761572	24125	30055	10
United Kingdom	Northern Europe	1999	Cyprus	Southern Europe	1415742596097	8867754207	24125	12914	2
United Kingdom	Northern Europe	1999	Sweden	Northern Europe	1415742596097	236720886164	24125	26724	12
United Kingdom	Northern Europe	1999	Ireland	Northern Europe	1415742596097	89229345958	24125	23764	4
United Kingdom	Northern Europe	1999	Austria	Western Europe	1415742596097	185275602636	24125	23182	7
United Kingdom	Northern Europe	1999	Malta	Southern Europe	1415742596097	3706482064	24125	9770	6
United Kingdom	Northern Europe	1999	Germany	Western Europe	1415742596097	1830433099432	24125	22295	1
United Kingdom	Northern Europe	2000	Malta	Southern Europe	1475705855651	3957418083	25058	10377	2
United Kingdom	Northern Europe	2000	Norway	Northern Europe	1475705855651	168288531891	25058	37473	3
United Kingdom	Northern Europe	2000	Russia	Eastern Europe	1475705855651	259708496267	25058	1775	8
United Kingdom	Northern Europe	2000	Denmark	Northern Europe	1475705855651	160082517846	25058	29980	12
United Kingdom	Northern Europe	2000	Germany	Western Europe	1475705855651	1886401326700	25058	22946	5
United Kingdom	Northern Europe	2000	Sweden	Northern Europe	1475705855651	247260155858	25058	27869	6
United Kingdom	Northern Europe	2000	Latvia	Eastern Europe	1475705855651	7833068425	25058	3301	7
United Kingdom	Northern Europe	2000	Ireland	Northern Europe	1475705855651	97525278177	25058	25630	10
United Kingdom	Northern Europe	2000	Austria	Western Europe	1475705855651	192070749954	25058	23974	1
United Kingdom	Northern Europe	2001	Sweden	Northern Europe	1518285497144	250381346604	25687	28146	8
United Kingdom	Northern Europe	2001	Lithuania	Northern Europe	1518285497144	12204375000	25687	3506	4
United Kingdom	Northern Europe	2001	Ireland	Northern Europe	1518285497144	102199315290	25687	26434	5
United Kingdom	Northern Europe	2001	Spain	Southern Europe	1518285497144	601640869725	25687	14775	3
United Kingdom	Northern Europe	2001	France	Western Europe	1518285497144	1350682881887	25687	22014	6
United Kingdom	Northern Europe	2001	Germany	Western Europe	1518285497144	1914968442701	25687	23254	2
United Kingdom	Northern Europe	2001	Malta	Southern Europe	1518285497144	3896082512	25687	9913	1
United Kingdom	Northern Europe	2001	Greece	Southern Europe	1518285497144	129640052497	25687	11839	7
United Kingdom	Northern Europe	2001	Denmark	Northern Europe	1518285497144	161210834024	25687	30083	10
United Kingdom	Northern Europe	2002	Cyprus	Southern Europe	1555224145954	9892554194	26215	13927	3
United Kingdom	Northern Europe	2002	Spain	Southern Europe	1555224145954	617946434914	26215	14957	2
United Kingdom	Northern Europe	2002	Israel	Eastern Europe	1555224145954	123898976676	26215	18858	5
United Kingdom	Northern Europe	2002	Sweden	Northern Europe	1555224145954	256599359725	26215	28751	1
United Kingdom	Northern Europe	2002	Belgium	Western Europe	1555224145954	237741366385	26215	23008	4
United Kingdom	Northern Europe	2002	France	Western Europe	1555224145954	1363229017959	26215	22058	10
United Kingdom	Northern Europe	2002	Malta	Southern Europe	1555224145954	4005624314	26215	10116	12
United Kingdom	Northern Europe	2002	Slovenia	Southern Europe	1555224145954	21353851323	26215	10706	6
United Kingdom	Northern Europe	2002	Latvia	Eastern Europe	1555224145954	9010898599	26215	3853	8
United Kingdom	Northern Europe	2003	Austria	Western Europe	1614554333404	198704471259	27105	24467	8
United Kingdom	Northern Europe	2003	Ireland	Northern Europe	1614554333404	112702198601	27105	28200	12
United Kingdom	Northern Europe	2003	Turkey	Southern Europe	1614554333404	280926215534	27105	4235	7
United Kingdom	Northern Europe	2003	Germany	Western Europe	1614554333404	1907972414293	27105	23117	4
United Kingdom	Northern Europe	2003	Netherlands	Western Europe	1614554333404	394108353879	27105	24290	1
United Kingdom	Northern Europe	2003	Norway	Northern Europe	1614554333404	175929063478	27105	38540	6
United Kingdom	Northern Europe	2003	Poland	Eastern Europe	1614554333404	182642797860	27105	4781	2
United Kingdom	Northern Europe	2003	Belgium	Western Europe	1614554333404	239659750047	27105	23097	5
United Kingdom	Northern Europe	2003	Sweden	Northern Europe	1614554333404	262592755597	27105	29313	10
United Kingdom	Northern Europe	2004	Serbia	Southern Europe	1661507591712	7484445629	27753	1003	3
United Kingdom	Northern Europe	2004	Malta	Southern Europe	1661507591712	3990731332	27753	9945	2
United Kingdom	Northern Europe	2004	Germany	Western Europe	1661507591712	1930126504253	27753	23391	4
United Kingdom	Northern Europe	2004	Albania	Southern Europe	1661507591712	4543619309	27753	1454	1
United Kingdom	Northern Europe	2004	Ukraine	Eastern Europe	1661507591712	44042453610	27753	928	5
United Kingdom	Northern Europe	2004	Greece	Southern Europe	1661507591712	148273579289	27753	13404	12
United Kingdom	Northern Europe	2004	Ireland	Northern Europe	1661507591712	117782520501	27753	28937	7
United Kingdom	Northern Europe	2004	Cyprus	Southern Europe	1661507591712	10509896324	27753	14207	10
United Kingdom	Northern Europe	2004	Turkey	Southern Europe	1661507591712	307228800117	27753	4569	6
United Kingdom	Northern Europe	2004	Sweden	Northern Europe	1661507591712	273713195657	27753	30434	8
United Kingdom	Northern Europe	2005	Malta	Southern Europe	1707602384540	4137015690	28354	10244	10
United Kingdom	Northern Europe	2005	Norway	Northern Europe	1707602384540	187632770146	28354	40584	5
United Kingdom	Northern Europe	2005	Turkey	Southern Europe	1707602384540	333040988667	28354	4887	1
United Kingdom	Northern Europe	2005	Moldova	Eastern Europe	1707602384540	1813877409	28354	505	2
United Kingdom	Northern Europe	2005	Cyprus	Southern Europe	1707602384540	10920829406	28354	14411	3
United Kingdom	Northern Europe	2005	Israel	Eastern Europe	1707602384540	138380104308	28354	19968	7
United Kingdom	Northern Europe	2005	Denmark	Northern Europe	1707602384540	170383902313	28354	31439	8
United Kingdom	Northern Europe	2005	Greece	Southern Europe	1707602384540	151654726496	28354	13658	12
United Kingdom	Northern Europe	2005	Latvia	Eastern Europe	1707602384540	11610367683	28354	5047	6
United Kingdom	Northern Europe	2006	Latvia	Eastern Europe	1752007342879	13030690849	28913	5695	2
United Kingdom	Northern Europe	2006	Germany	Western Europe	1752007342879	2015244849889	28913	24464	5
United Kingdom	Northern Europe	2006	Russia	Eastern Europe	1752007342879	378223527671	28913	2654	1
United Kingdom	Northern Europe	2006	Romania	Eastern Europe	1752007342879	52761301148	28913	2444	6
United Kingdom	Northern Europe	2006	Lithuania	Northern Europe	1752007342879	17944975000	28913	5287	10
United Kingdom	Northern Europe	2006	Greece	Southern Europe	1752007342879	160012057464	28913	14353	7
United Kingdom	Northern Europe	2006	Finland	Northern Europe	1752007342879	144797309748	28913	27495	12
United Kingdom	Northern Europe	2006	Ireland	Northern Europe	1752007342879	130661985480	28913	30669	8
United Kingdom	Northern Europe	2006	Sweden	Northern Europe	1752007342879	294498396948	28913	32432	4
United Kingdom	Northern Europe	2006	Turkey	Southern Europe	1752007342879	355999132580	28913	5155	3
United Kingdom	Northern Europe	2007	Ukraine	Eastern Europe	1815652027571	52367654045	29771	1126	8
United Kingdom	Northern Europe	2007	Russia	Eastern Europe	1815652027571	410505209128	29771	2889	6
United Kingdom	Northern Europe	2007	Turkey	Southern Europe	1815652027571	372619233720	29771	5324	12
United Kingdom	Northern Europe	2007	Bulgaria	Eastern Europe	1815652027571	19106152662	29771	2494	5
United Kingdom	Northern Europe	2007	Greece	Southern Europe	1815652027571	165670288500	29771	14802	10
United Kingdom	Northern Europe	2007	Hungary	Eastern Europe	1815652027571	59169627001	29771	5884	2
